Creation Time,Marketplace Type,Service Category,Location,Questions and Answers,Preferred Providers,Status
Mon Apr 13 10:20:26 UTC 2020,SERVICE_MARKETPLACE,Life Coaching,11217,1. What areas of coaching are you interested in? Career 2. How would you like to work with the life coach? I do not have a preference 3. What are your goals in seeking a life coach? Anything else the life coach should know? I hope to engage in a meaningful dialogue about my future plans career and personal habits wise.,,CLOSED
Mon Apr 13 10:05:40 UTC 2020,SERVICE_MARKETPLACE,Career Development Coaching,11217,"1. What do you need your career coach to help you with? Explore future career options 2. Where are you in your career? Early career 3. How would you like to work with the career coach? I do not have a preference 4. What are your goals in seeking a career coach? Anything else the coach should know? I'm a graduate student at NYU studying Public Relations and Coporate Communications. I'm at a crossroads with regards to how I should proceed professionally. I may want to pursue another degree, likely an MBA, or perhaps join industry for a few years. Although I'm honing my skills as a communicator with the intention of joining a PR agency, I'm interested in opportunities across a variety of areas: from political consulting to entrepreneurship.     Prior to grad school, I spent six years working as a college admissions consultant and business development lead in Singapore. I also started my own company in 2017 (I exited the company in 2019).",,CLOSED
