Playlist ID,Add new videos to top,Playlist Title (Original),Playlist Title (Original) Language,Playlist Create Timestamp,Playlist Update Timestamp,Playlist Video Order,Playlist Visibility
FLH6FqLC2iB7BCeA9boF0KFg,True,Favorites,en_US,2014-01-28T21:46:55+00:00,2020-11-19T19:10:55+00:00,Manual,Public
PLXFh4LJgpBuHWHAMMqXHbAuwt9rttXk1t,False,Watch later,en_US,2013-10-11T03:47:54+00:00,2020-01-05T01:42:44+00:00,Manual,Private





