School Name,Start Date,End Date,Notes,Degree Name,Activities
Cornell Johnson Graduate School of Management,2020,2022,Courses completed:  Data Analytics and Modeling (Spring 2021) Market Research (Spring 2021) Strategic Product and Marketing (Immersion)(Spring 2021) Introduction to SQL and Tableau (Spring 2021),Master of Business Administration - MBA,"Clubs: High Tech Club, Communications Club, Entrepreneurship Club, Marketing Association, Access Johnson (VP, Communications)"
New York University,2019,2020,"Degree paused in order to complete an MBA at Cornell Johnson.  Graduate classes completed: Theory, History & Practice of Public Relations (Fall 2018) Communication Ethics, Law & Regulation (Fall 2018) Public Relations Writing Seminar I (Fall 2018) Critical Business Skills for PR Professionals (Fall 2018) Public Relations Writing Seminar II (Spring 2019) Managing Media Relations (Spring 2019) Strategic Communication: Thinking, Planning, and Execution (Spring 2019) Social Media for Public Relations Professionals (Spring 2019)  ",Master of Science - MS (Partial),• Public Relations League • NYUSPS ASPIRE Mentorship Program
Emory University,2010,2014,,Bachelor of Arts (B.A.),"Member, Phi Delta Theta Fraternity"
