Name,Number
"Communications Ethics, Law & Regulation",PRCC1-GC1010
Social Media for Public Relations Professionals,PRCC1-GC1070
"Strategic Communication: Thinking, Planning, and Execution",PRCC1-GC1060
Managing Media Relations,PRCC1-GC104
