Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2025-09-29 19:31:11,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7378511684270727168,"If I've said it once, I've said it a thousand times... ""
""""
""👏 Energy and confidence management are the absolute most underrated part of job hunting""
""""
""Look: you are not a machine for turning hopes and dreams into ATS-compliant resumes. ""
""""
""🫂 You are a person participating in a draining process that certainly won't let you rest if you don't give yourself some grace. ""
""""
""I know that's not easy -- I've been in that place of alternating between maniacally applying for jobs and dreading even opening my laptop as my self-esteem ticks lower with each unrequited workday application. ""
""""
""👌 That's why I love this post from Kim Wilkes.""
""""
""Not *just* because of the Careerspan signal boost (which is always appreciated!)""
""""
""👉 But because she's sharing a powerful reminder that you'll go further and feel better if you punctuate your job search with activities that are grounding and rejuvenating.","","",MEMBER_NETWORK
2025-09-18 19:27:32,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7374524495853965313,"David Speigel 🔮 has forgotten more about networking than most people have learned in their whole lives. ""
""""
""If you're job searching or just looking to network better, run—don't walk—to this free session.","","",MEMBER_NETWORK
2025-08-14 14:42:17,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7361769137540399104,"What does it mean to be ""happily employed""?""
""""
""Different things to different people, no doubt.""
""""
""But with $400B lost *annually* due to hiring churn and up to 80% of folks looking to change jobs in a given year...""
""""
""A lot of us are clearly trying to figure that out for ourselves. ""
""""
""That's why Careerspan is proud to be partnering with Ainsley Fagerström and the Happily Employed community.""
""""
""HE members are going to receive the *most tailored job recommendations*—bar none.""
""""
""Jobs that are:""
""👉 Aligned with their goals, hard skills, and soft skills -- not just resume keywords""
""🚨 Absent any dealbreakers they tell our AI ""
""✅ Free of red flags courtesy of our BS detector""
""📍 Location aware (but with plenty of remote options)""
""🎯 On company’s portal, not to some random job board""
""📬 Posted in under 48 hours from initial posting""
""⭐️️ Delivered with strategic positioning guidance + one-click resume tailoring""
""""
""And that's after setting aside the fact that, by using Careerspan, they're going to be better prepared than ever!""
""""
""So check out Happily Employed powered by Careerspan, and join the 20% of folks who already have their dream job!","","",MEMBER_NETWORK
2025-08-13 14:36:04,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7361405185895596032,"Question for the active and passive job seekers on LinkedIn -- would you *pay* for personalized job recommendations delivered to your inbox regularly?""
""""
""When I say personalized, I mean *truly personalized*:""
""👉 Aligned with your goals, hard skills, and soft skills""
""👉 Factors in your dealbreakers + knows when you lack a hard requirement""
""👉 Location aware (but with plenty of remote options) ""
""👉 Only routes you to the company's portal, not to some random job board""
""👉 Delivered in under 48 hours from initial posting""
""""
""As a bonus:""
""⭐️ Filtered through our BS detector so you don't see any scams ""
""⭐️ Shows you gaps in your profile before you apply to maximize your shot","","",MEMBER_NETWORK
2025-08-12 21:49:44,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7361151934377906176,"Them: ChatGPT is such a suck-up. ""
""""
""Me, who got carried away with personalization: *through tears* yeah, totally, also can I get a hug?","","",MEMBER_NETWORK
2025-08-12 12:57:09,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7361017901992087553,"Thanks, Tony Case, for shedding light on the procedural nightmare of applying for jobs in modern day. ""
""""
""Having to retype the same details about your background each time you apply—most of which can be found in the resume, mind you—is a type of Sisyphean hell I wouldn't wish on anyone.""
""""
""Who else thinks we need a Common App for job hunters?","","",MEMBER_NETWORK
2025-08-09 18:55:19,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7360020874202103809,"I've been wondering something. ""
""""
""Would especially love thoughts from folks that hire (founders, TA, hiring managers, etc.)","","",MEMBER_NETWORK
2025-08-07 16:21:56,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7359257497850761216,"🚨 Here's a fact: Your dream hire is probably terrible at applying for jobs.""
""""
""Think about it.""
""""
""That 10x engineer? Been coding for 5 years straight. Last updated their resume in 2019.""
""""
""That unicorn marketer? Too busy tripling revenue to practice interview answers.""
""""
""Your perfect candidate is crushing it at work—not polishing their LinkedIn weekly.""
""""
""Unfortunately, self-advocacy is a muscle. Use it or lose it.""
""""
""And when you're genuinely good at your job, you don't exercise that muscle. ""
""""
""You're too busy... being good at your job.""
""""
""Yet somehow, we've created a hiring system that rewards job-search practice over job performance.""
""""
""So how do we fix this?""
""""
""The SAT gives everyone free prep materials. ""
""Not to make it easier, but to make it fair. ""
""To measure what actually matters--relative performance on equal footing. ""
""""
""🤔 Why don't we do this for hiring?""
""""
""Why don't we help people put forward their best selves?""
""""
""This isn't about charity—it's about meritocracy.""
""""
""When every candidate can articulate their value clearly, you finally get to compare apples to apples. ""
""""
""Real capability vs. real capability. ""
""Not ""who hired a resume writer"" vs. ""who didn't.""""
""""
""At Careerspan, we help candidates uncover their real stories through AI-guided reflection. ""
""No BS templates. ""
""Just structured conversations that reveal who they actually are.""
""""
""👉 Because when you help candidates shine, you can see who shines brightest.""
""""
""And right now? ""
""You're not rejecting bad candidates. ""
""🤦 You're rejecting bad self-advocates that might be your next superstar hire. ""
""""
""If you're ready to fix this for your organization, let's connect!","","",MEMBER_NETWORK
2025-08-04 21:31:22,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7358248207987929090,"Networking is *literally* the CEO's job.""
""""
""And by that measure, for over a year, I was the 0.1x founder""
""""
""""Too busy with product."" ""Locked down with fundraising."" ""Building the team comes first.""""
""All true. All excuses.""
""""
""The real reason?""
""I didn't feel worthy of those rooms.""
""Didn't feel worthy of introducing myself as a CEO.""
""Didn't feel worthy of taking up space in conversations that mattered.""
""""
""I said what everyone says: ""Networking feels so transactional.""""
""What I really meant was: ""I don't feel worthy of anyone's time.""""
""""
""Then, a few months ago, I forced myself to a (fantastic) breakfast organized by Andrew and the Fibe team.""
""""
""It was the best decision I've made in some time. ""
""""
""I was worried that it would be the 0.1x founder that showed up. ""
""""
""Instead, I threw myself into the deep end and found:""
""👉 Conversations that actually mattered.""
""🤝 A partnership that re-energized our business. ""
""👊 Connections that became real friends. ""
""""
""The difference?""
""""
""After a year of building Careerspan, I finally knew our story.""
""Not just knew it.""
""I'd dissected it. Analyzed it. Internalized every bit of it.""
""""
""I could explain our vision in my sleep. ""
""Our mission had become muscle memory. ""
""Our impact was measured by an outpouring of user love. ""
""""
""Suddenly, talking about it was as easy as breathing.""
""Because I wasn't selling.""
""I was just... sharing what I knew to be true.""
""""
""So here's the lesson:""
""Your story matters.""
""But first, you need to understand it so deeply that telling it comes naturally. ""
""""
""That's why we built Careerspan.""
""🪏 To help you excavate your story. ""
""📐 To understand it from every angle. ""
""🧘‍♂️ To make sharing it as easy as breathing.","","",MEMBER_NETWORK
2025-08-01 22:42:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7357179011300556800,"Thank you to all of our new followers for helping me lose the hell outta this bet. ""
""""
""Sadly, no more Fancy Feasts for my boys. We're a Whisker's household for the rest of August. ""
""""
""Logan Currie - Double or nothing to 3000 *by September 1*?","","",MEMBER_NETWORK
