Action,Date,Ad Title/Id,Page/App
Impression,2025/09/12,685064306,dailymail.co.uk
Impression,2025/09/13,757238676,Samsung TV Plus FREE
Impression,2025/09/14,729676214,Samsung TV Plus FREE
Impression,2025/09/14,729685544,Samsung TV Plus FREE
Impression,2025/09/15,751976826,nypost.com
Impression,2025/09/15,797208126,nypost.com
Impression,2025/09/16,794298756,Samsung TV Plus FREE
Impression,2025/09/16,797420866,Woodoku
Impression,2025/09/16,801199886,com.hulu.plus.androidtv
Impression,2025/09/16,813499783,Woodoku
Impression,2025/09/17,737316464,Samsung TV Plus FREE
Impression,2025/09/17,742266284,usatoday.com
Impression,2025/09/17,797399526,usatoday.com
Impression,2025/09/18,685073726,Woodoku
Impression,2025/09/18,736875463,Woodoku
Impression,2025/09/18,813499783,Woodoku
Impression,2025/09/18,837793416,Woodoku
Impression,2025/09/18,870878096,Samsung TV Plus FREE
Impression,2025/09/18,870927916,Samsung TV Plus FREE
Impression,2025/09/19,751976676,Woodoku
Impression,2025/09/19,813707573,Woodoku
Impression,2025/09/19,856701736,Samsung TV Plus FREE
Impression,2025/09/22,756406653,FuboTV
Impression,2025/09/23,750569954,WatchFree+
Impression,2025/09/23,801199886,Bloomberg: Business News FREE
Impression,2025/09/23,870897986,Samsung TV Plus FREE
Impression,2025/09/24,737296204,Samsung TV Plus FREE
Impression,2025/09/24,737316664,Samsung TV Plus FREE
Impression,2025/09/25,870968076,Samsung TV Plus FREE
Impression,2025/09/25,877921916,ultimate-guitar.com
Impression,2025/09/26,813499783,The Weather Channel
Impression,2025/09/27,856889056,Samsung TV Plus FREE
Impression,2025/09/28,883978786,thedailybeast.com
Impression,2025/09/30,669972644,Samsung TV Plus FREE
Impression,2025/09/30,729685544,Samsung TV Plus FREE
Impression,2025/09/30,750538904,Samsung TV Plus FREE
Impression,2025/09/30,877863716,The Weather Channel
Impression,2025/10/01,879879256,The Weather Channel
Impression,2025/10/01,889339106,yahoo.com
Impression,2025/10/02,751976676,The Weather Channel
Impression,2025/10/03,751976616,nypost.com
Impression,2025/10/03,826805464,The Weather Channel
Impression,2025/10/03,863486943,frndlytv
Impression,2025/10/03,863486953,frndlytv
Impression,2025/10/04,893595656,ultimate-guitar.com
Impression,2025/10/05,777029434,247sports.com
Impression,2025/10/05,777041254,247sports.com
Impression,2025/10/05,854226303,dailymail.co.uk
Impression,2025/10/06,891842346,huffpost.com
Impression,2025/10/07,826892684,ultimate-guitar.com
Impression,2025/10/08,750569954,WatchFree+
Impression,2025/10/09,826892684,dailymail.co.uk
Impression,2025/10/09,889339106,yahoo.com
Impression,2025/10/10,715814286,ultimate-guitar.com
Impression,2025/10/10,801199886,Bloomberg: Business News FREE
Impression,2025/10/10,863486943,Samsung TV Plus FREE
Impression,2025/10/10,863486953,Samsung TV Plus FREE
Impression,2025/10/11,681880036,Samsung TV Plus FREE
Impression,2025/10/11,756888323,Samsung TV Plus FREE
Impression,2025/10/11,820319653,Samsung TV Plus FREE
Impression,2025/10/11,838098056,Samsung TV Plus FREE
Impression,2025/10/11,863486943,Samsung TV Plus FREE
Impression,2025/10/11,908384816,Samsung TV Plus FREE
