Day,Title,How to apply (optional),URL of where to,Company,Full Job Description,Location,Country,Tags Matched,Notes,Within_3_Days
2025-09-20,Head of Product Development & Strategy,,happymammoth.applytojob.com/apply/P3KiPQJAci/Head-Of-Product-Development-Strategy,Happy Koala,Head of Product Development & Strategy,Remote,,,no
2025-09-20,Director of Product Marketing,,boards.greenhouse.io/corellium/jobs/5642547004,Corellium,Director of Product Marketing,Remote,,,no
2025-09-20,Director of Product Marketing,,goknit.applytojob.com/apply/IhW4XkRhGp/Director-Of-Product-Marketing,Knit,Director of Product Marketing,Remote,,,no
2025-09-21,Director of Product,,jobs.lever.co/alltrails/12340b23-68b0-41e2-accd-335efaa392ba,AllTrails,Director of Product,San Francisco,United States,,,yes
2025-09-21,Head of Product Marketing,,boards.greenhouse.io/regscale/jobs/4793925007,RegScale,Head of Product Marketing,Remote,,,yes
2025-09-19,Director of Product, Clinical Operations Platform,,boards.greenhouse.io/tailorcare2023/jobs/4596918006,TailorCare,Director of Product, Clinical Operations Platform,Remote,,,no
2025-09-20,Head of Product Marketing,,boards.greenhouse.io/logicgate/jobs/4602059005,LogicGate,Head of Product Marketing,Remote,,,yes
2025-09-21,Customer Success Manager - High Touch (East Coast),,jobs.ashbyhq.com/n8n/2b87bd9d-5354-40e2-9615-b72aa1b99dfa,n8n,Customer Success Manager - High Touch (East Coast),New York,United States,GitHub; n8n,,,yes
2025-09-21,Client Success Manager,,aokallc.applytojob.com/apply/aZ7XDkaRRL/Client-Success-Manager,Aoka,Client Success Manager,Remote,United States,,,yes
2025-09-21,Customer Success Manager - Low Touch  (East Coast),,jobs.ashbyhq.com/n8n/7caec1b3-91c4-4e96-b70d-def9733542e7,n8n,Customer Success Manager - Low Touch  (East Coast),New York,United States,n8n; GitHub,,,yes
2025-09-20,Client Success Representative (Remote, Contract),,boards.greenhouse.io/infuse/jobs/4610922005,INFUSE,Client Success Representative (Remote, Contract),Remote,,,,yes
2025-09-20,Client Success Representative (Remote, Contract),,boards.greenhouse.io/infuse/jobs/4610901005,INFUSE,Client Success Representative (Remote, Contract),Remote,,,,yes
2025-09-20,Senior National Customer Success Manager,,snapptinc.applytojob.com/apply/NgJMbZwXOW/Senior-National-Customer-Success-Manager,Snappt,Senior National Customer Success Manager,Remote,,,,yes
2025-09-20,Client Success Representative (Remote, Contract),,boards.greenhouse.io/infuse/jobs/4610926005,INFUSE,Client Success Representative (Remote, Contract),Remote,,,,yes
2025-09-20,Client Success Representative (Remote, Contract),,boards.greenhouse.io/infuse/jobs/4610929005,INFUSE,Client Success Representative (Remote, Contract),Remote,,,,yes
2025-09-20,Client Success Representative (Remote, Contract),,boards.greenhouse.io/infuse/jobs/4610913005,INFUSE,Client Success Representative (Remote, Contract),Remote,,,,yes
