2025-12-24|48.149
2025-12-22|69.887
2025-12-16|42.88
2025-12-14|56.63
2025-12-12|44.545
2025-12-10|14.337
2025-12-09|49.847
2025-12-08|45.431
2025-12-05|38.787
2025-12-03|23.499
2025-12-01|39.079
2025-11-30|37.337
2025-11-29|19.978
2025-11-28|47.358
2025-11-27|53.425
2025-11-24|40.147
2025-11-07|47.339
2025-11-06|34.298
2025-11-05|38.574
2025-11-04|32.415
2025-11-03|36.031
2025-11-02|45.778
2025-10-26|20.057
2025-10-25|49.179
2025-10-23|35.019
2025-10-21|33.618
2025-10-19|56.563
2025-10-18|38.154
2025-10-15|49.611
2025-10-11|53.178
2025-10-10|46.342
2025-10-06|53.759
2025-10-05|20.051
2025-10-04|31.688
2025-10-03|51.255
2025-10-02|51.078
